time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
44.0,2610.7037791885714,4.951368191853229,63.61854860638716,26.492259321579656,13.672984519395868,0.3449069771533715,6.000000000043537
45.0,2655.4823716301944,5.041465455237647,62.982363120323285,26.316837004959343,13.610766467210972,13.951362107149926,6.000000000024608
46.0,2700.171406886934,5.131382524196113,62.352539489120055,26.142767372494838,13.3248856243657,27.101855705176252,6.000000000013909
47.0,2744.7710640731602,5.221119759073644,61.72901409422885,25.969989591295686,12.832759264844631,39.595841773706184,6.000000000007862
48.0,2789.281521945014,5.310677519513627,61.111723953286564,25.798447315880434,12.153782566348115,51.25467631788297,6.0000000000044444
49.0,2833.702958901124,5.400056164450934,60.5006067137537,25.62808830880064,11.308555251544954,61.92254811545438,6.000000000002513
50.0,2878.035552983322,5.489256052108656,59.89560064661616,25.458864095336626,10.318261527838143,71.46677779184935,6.000000000001421
51.0,2922.279481877355,5.578277539996879,59.29664464015,25.290729649006806,9.204198088348969,79.7776411578002,6.000000000000804
52.0,2966.4349229136005,5.6671209849126125,58.7036781937485,25.123643104964913,7.98743515299086,86.76785579631856,6.000000000000455
53.0,3010.5020530677734,5.755786742940372,58.11664141181102,24.957565498655786,6.688590451239892,92.37184805010446,6.000000000000258
54.0,3054.481048961638,5.844275169453126,57.53547499769291,24.792460527364437,5.327694434070335,96.5448943835485,6.000000000000146
55.0,3098.3720868637147,5.932586619113447,56.96012024771598,24.628294332528593,3.9241256459965634,99.2622088497507,6.000000000000083
56.0,3142.1753426899872,6.020721445874784,56.39051904523882,24.465035300895664,2.4965970895487657,100.51802832867759,6.000000000000047
57.0,3185.890992004607,6.108680002982789,55.82661385478643,24.302653882793273,1.063176834526739,100.32472980909586,6.000000000000027
58.0,3229.5192100205977,6.196462642976684,55.268347716238566,24.141122425951195,-0.3586714290030079,98.71199925747915,6.000000000000016
59.0,3273.0601716005567,6.2840697176906515,54.71566423907618,23.98041502346361,-1.7516187243918184,95.72648054236885,6.000000000000009
60.0,3316.5140512573557,6.371501578255225,54.16850759668542,23.82050737461613,-3.0900670377980206,91.43983249779122,6.000000000000005
61.0,3359.881023154841,6.45875857509869,53.62682252071857,23.66137665742388,-4.346564888209075,85.95026970335975,6.0000000000000036
62.0,3403.161261108531,6.545841057948479,53.09055429551138,23.503001411836152,-5.4964039197176735,79.37948741235007,6.000000000000003
63.0,3446.354938586314,6.632749375832574,52.55964875255627,23.345361432661665,-6.518358423864325,71.86888539583137,6.000000000000002
64.0,3489.462228709141,6.719483877080904,52.03405226503071,23.188437671356965,-7.39521459979045,63.57530972859303,6.000000000000002
65.0,3532.483304251723,6.806044909326739,51.5137117423804,23.03221214590028,-8.11407025677426,54.66654810021135,6.000000000000002
66.0,3575.4183376432197,6.892432819508084,50.998574624956596,22.876667858045128,-8.666408640277705,45.316807608681,6.000000000000002
67.0,3618.2675009679333,6.978647953869067,50.48858887870703,22.72178871731276,-9.04796987674829,35.7023776368242,6.000000000000002
68.0,3661.0309659659974,7.064690657961329,49.983702989919955,22.56755947114129,-9.258457785688163,25.997640130675737,6.000000000000002
69.0,3703.7089040340657,7.150561276645406,49.48386596002076,22.413965640662084,-9.301127454338488,16.371542174703805,6.000000000000002
