time,upstream_channel.output,downstream_channel.output,mpc_controller.output,upstream_inflow.output,downstream_demand.output
146.0,10.0,-12.0,1.1140400753893783e-13,10.0,12.0
147.0,10.0,-12.0,-1.0051199342091175e-13,10.0,12.0
148.0,10.0,-11.999999999999233,-9.604971123188617e-14,10.0,12.0
149.0,10.0,-12.0,2.1785819097786317e-14,10.0,12.0
150.0,10.0,-12.0,2.102953954061961e-13,10.0,12.0
151.0,10.0,-12.0,1.7767477606744823e-13,10.0,8.0
152.0,10.0,-11.999999999999899,-8.055095453480199e-15,10.0,8.0
153.0,10.0,-12.0,1.1738460349682267e-13,10.0,8.0
154.0,10.0,-11.99999999999958,-4.744123655552951e-16,10.0,8.0
155.0,10.0,-12.0,2.7159364778795313e-14,10.0,8.0
156.0,10.0,-12.0,2.6252598886527175e-14,10.0,8.0
157.0,10.0,-11.999999999999918,1.1488796322812903e-13,10.0,8.0
158.0,10.0,-11.99999999999921,1.4476504853602906e-14,10.0,8.0
159.0,10.0,-7.999999999999332,-5.622776724682628e-14,10.0,8.0
160.0,10.0,-8.0,2.1606008429624894e-05,10.0,8.0
161.0,10.0,-7.999999999999559,8.745347369999987e-07,10.0,8.0
162.0,10.0,-8.0,3.539823538811097e-08,10.0,8.0
163.0,10.0,-7.999999999999898,1.4327081178661458e-09,10.0,8.0
164.0,10.0,-7.999999999999901,5.814794908873521e-11,10.0,8.0
165.0,10.0,-7.999999999999568,2.328983482560432e-12,10.0,8.0
166.0,10.0,-7.999999999999946,-3.925917642500463e-14,10.0,8.0
167.0,10.0,-8.0,-1.4100992782216174e-14,10.0,8.0
168.0,10.0,-7.999918793593841,1.0957775195805845e-13,10.0,8.0
169.0,10.0,-7.999996713052146,2.9529446436260637e-07,10.0,8.0
170.0,10.0,-7.999999866955366,-2.7149377033358584e-07,10.0,8.0
171.0,10.0,-7.999999994615152,-2.2358360665464758e-08,10.0,8.0
172.0,10.0,-7.99999999978145,-1.3649408938173524e-09,10.0,8.0
173.0,10.0,-7.999999999991246,-7.402142555614135e-11,10.0,8.0
174.0,10.0,-8.0,-3.897709109917874e-12,10.0,8.0
