time,upstream_channel.output,downstream_channel.output,gate.output,upstream_inflow.output,downstream_demand.output
34.0,10.0,-7.827587443269765,0.0,10.0,8.0
35.0,10.0,-7.849085268298473,0.0,10.0,8.0
36.0,10.0,-7.867902566515621,0.0,10.0,8.0
37.0,10.0,-7.884373568196965,0.0,10.0,8.0
38.0,10.0,-7.898790829020286,0.0,10.0,8.0
39.0,10.0,-7.911410426399303,0.0,10.0,8.0
40.0,10.0,-7.922456507895649,0.0,10.0,8.0
41.0,10.0,-7.9321252724971885,0.0,10.0,8.0
42.0,10.0,-7.940588455477589,0.0,10.0,8.0
43.0,10.0,-7.947996378734747,0.0,10.0,8.0
44.0,10.0,-7.954480620787772,0.0,10.0,8.0
45.0,10.0,-7.960156353856628,0.0,10.0,8.0
46.0,10.0,-7.965124389535353,0.0,10.0,8.0
47.0,10.0,-7.969472969393787,0.0,10.0,8.0
48.0,10.0,-7.973279332312267,0.0,10.0,8.0
49.0,10.0,-7.976611086388044,0.0,10.0,8.0
50.0,10.0,-7.979527409781056,0.0,10.0,8.0
51.0,10.0,-7.9820801018283065,0.0,15.0,8.0
52.0,11.0,-7.982885720740525,0.5729417247853398,15.0,8.0
53.0,11.8,-7.91245948078881,1.0224916691298764,15.0,8.0
54.0,12.440000000000001,-7.794817985809967,1.4491736597113827,15.0,8.0
55.0,12.952000000000002,-7.638701052142336,1.8524817843641488,15.0,8.0
56.0,13.361600000000003,-7.451817012093286,2.2338400187089693,15.0,8.0
57.0,13.689280000000004,-7.240733438575571,2.5955014591998613,15.0,8.0
58.0,13.951424000000003,-7.010917451340298,2.939967451772875,15.0,8.0
59.0,14.161139200000003,-6.766842722529035,3.2696885494304677,15.0,8.0
60.0,14.328911360000003,-6.512120039841388,3.58692070920178,15.0,8.0
61.0,14.463129088000002,-6.249629307363729,3.8936669805846122,15.0,8.0
62.0,14.570503270400003,-5.981642242901235,4.191665432627604,15.0,8.0
63.0,14.656402616320003,-5.709931222062471,4.48240101253019,15.0,8.0
64.0,14.725122093056003,-5.435863044039768,4.767128670000895,15.0,8.0
65.0,14.780097674444804,-5.160478112170507,5.046900647541208,15.0,8.0
66.0,14.824078139555844,-4.884556338080529,5.322594072036681,15.0,8.0
67.0,14.859262511644676,-4.6086713922047915,5.594936862346592,15.0,8.0
68.0,14.887410009315742,-4.333234965983575,5.8645310494853735,15.0,8.0
69.0,14.909928007452594,-4.058532614511241,6.13187321644394,15.0,8.0
70.0,14.927942405962076,-3.784752588506803,6.397372096464341,15.0,8.0
71.0,14.942353924769662,-3.512008883547409,6.661363536624074,15.0,8.0
72.0,14.95388313981573,-3.2403595554209006,6.924123106779676,15.0,8.0
73.0,14.963106511852585,-2.9698211847057285,7.185876653534909,15.0,8.0
74.0,14.970485209482069,-2.700380226231758,7.446809089565048,15.0,8.0
75.0,14.976388167585656,-2.432001851206385,7.70707168489933,15.0,8.0
