time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
27.0,1835.5901462644854,3.4850173426908393,75.47192872036331,29.773501652965713,-12.882981619288863,-82.86201444998497,8.400000283949485
28.0,1881.9189659719564,3.578043534718063,74.71720943315968,29.558531793127454,-10.98257457318276,-92.80881384254292,8.400000160493189
29.0,1928.1551280400124,3.6708853149209695,73.97003733882808,29.34727305694321,-8.990893103246966,-100.6395967727581,8.400000090713542
30.0,1974.2988177839325,3.7635423388363645,73.2303369654398,29.139470266587736,-6.934026526813959,-106.31562833991258,8.400000051272873
31.0,2020.3502201483645,3.8560145728146953,72.4980335957854,28.934890459533953,-4.836331519522513,-109.82301450518618,8.400000028980319
32.0,2066.309519708068,3.9483021585615896,71.77305325982755,28.733320769228808,-2.7206939721702605,-111.17092079604161,8.400000016380181
33.0,2112.176900668652,4.040405336575024,71.05532272722927,28.534566524769367,-0.608802776502134,-110.39008706259322,8.400000009258363
34.0,2157.9525468673146,4.132324402871319,70.34476949995697,28.338449544880355,1.4785801602432302,-107.53163081406758,8.40000000523299
35.0,2203.63664177358,4.224059684526567,69.6413218049574,28.14480660455557,3.514205326826506,-102.67328010206523,8.400000002957778
36.0,2249.229368490033,4.315611525852857,68.94490858690783,27.953488055368325,5.452334913821972,-95.93752918696745,8.400000001671788
37.0,2294.730909753053,4.406980280585476,68.25545950103876,27.76435658274364,7.24991109983501,-87.48839897229536,8.400000000944924
38.0,2340.1414479335467,4.498166307467618,67.57290490602837,27.57728608546914,8.869487462351815,-77.52530652278985,8.400000000534089
39.0,2385.4611650376796,4.589169967755425,66.89717585696809,27.392160664447665,10.280508469907993,-66.27573172134699,8.400000000301876
40.0,2430.6902427076043,4.679991623808421,66.22820409839841,27.20887370919833,11.460066815378752,-53.987218259451396,8.400000000170627
41.0,2475.828862222189,4.770631638293438,65.56592205741443,27.027327071926457,12.393126515702356,-40.9192515155059,8.400000000096442
42.0,2520.8772044977445,4.861090373735296,64.91026283684027,26.84743032013215,13.07226290723473,-27.335497964327345,8.400000000054511
43.0,2565.835450088749,4.951368192263468,64.26116020847188,26.669100059735243,13.497016855223888,-13.496787384549364,8.400000000030811
44.0,2610.7037791885714,5.041465455469521,63.61854860638716,26.492259321579656,13.672984519395868,0.3449069771533715,8.400000000017416
45.0,2655.4823716301944,5.131382524327172,62.982363120323285,26.316837004959343,13.610766467210972,13.951362107149926,8.400000000009845
46.0,2700.171406886934,5.2211197591477205,62.352539489120055,26.142767372494838,13.3248856243657,27.101855705176252,8.400000000005566
47.0,2744.7710640731602,5.310677519555496,61.72901409422885,25.969989591295686,12.832759264844631,39.595841773706184,8.400000000003146
48.0,2789.281521945014,5.400056164474599,61.111723953286564,25.798447315880434,12.153782566348115,51.25467631788297,8.400000000001778
49.0,2833.702958901124,5.489256052122032,60.5006067137537,25.62808830880064,11.308555251544954,61.92254811545438,8.400000000001006
