time,main_river_channel.storage,branch1_channel.output,branch2_pipe.output,regulating_reservoir.storage,total_outflow.output
92.0,3429.155886568781,371.758478055234,-10.09463759791096,13626.841595372713,800.3149848523788
93.0,3444.8643277030933,372.63460962549334,-10.128473962111586,13716.81089912864,802.9601266793741
94.0,3460.4156844260624,373.49995432894355,-10.161834469143184,13805.812801005868,805.5682805108481
95.0,3475.811527581802,374.3546741257668,-10.19472727292547,13893.856491838593,808.1400725089082
96.0,3491.053412305984,375.19892771738057,-10.22716033839659,13980.951129380805,810.6761149785823
97.0,3506.142878182924,376.03287063674685,-10.259141459562438,14067.105835970373,813.1770067907879
98.0,3521.0814494010947,376.85665533539276,-10.290678245465,14152.329696340894,815.6433337882924
99.0,3535.8706349070835,377.67043126729186,-10.321778156920795,14236.631755524448,818.0756691741018
100.0,3550.5119285580126,378.47434496974523,-10.352448460892166,14320.021016922812,820.4745738855532
101.0,3565.0068092724323,379.26854014139496,-10.38269631761295,14402.506440408139,822.8405969510545
102.0,3579.356741179708,380.0531577174967,-10.412528651225701,14484.096940666246,825.1742758365177
103.0,3593.563173767911,380.82833594256897,-10.441952373769197,14564.80138542172,827.4761367719769
104.0,3607.627542030232,381.5942104405341,-10.470974028351224,14644.628594125468,829.7466950758126
105.0,3621.5512666099294,382.3509142824562,-10.499600390218397,14723.587336135197,831.9864554496685
106.0,3635.3357539438302,383.09857805197987,-10.527837479570733,14801.686329984903,834.195912290192
107.0,3648.982396404392,383.8373299085646,-10.555692218508664,14878.934241075262,836.3755499425531
108.0,3662.4925724403483,384.56729564860814,-10.583169665447102,14955.339682236918,838.5258430223721
109.0,3675.867646715945,385.28859876454567,-10.610277677644465,15030.911209679081,840.647256595309
110.0,3689.108970248785,386.00136050200774,-10.637019043216762,15105.65732694429,842.7402465701853
111.0,3702.2178805462972,386.7056999151164,-10.663404838463624,15179.586475482058,844.80525970562
112.0,3715.1957017408345,387.4017339199943,-10.689431683064305,15252.707048209346,846.842734249307
113.0,3728.0437447234262,388.0895773465586,-10.715120648569236,15325.027363943149,848.8530994749839
114.0,3740.763307276192,388.7693429886685,-10.740450459948288,15396.555709193006,850.8367770854333
115.0,3753.3556742034298,389.4411416526898,-10.765472641687108,15467.300264020148,852.794179385733
116.0,3765.8221174613955,390.1050822045404,-10.790112297123798,15537.269228647163,854.7257130112571
117.0,3778.1638962867814,390.7612716152743,-10.814514100431309,15606.470601589062,856.6317730119429
118.0,3790.3822573239136,391.4098150052613,-10.838439214934267,15674.912565347608,858.512753689142
119.0,3802.4784347506743,392.05081568701576,-10.862320311540225,15742.60280941613,860.3690301744757
120.0,3814.4536504031676,392.6843752067258,-10.885409406566856,15809.549719027966,862.2009912420947
