time,upstream_channel.output,downstream_channel.output,pid_controller_downstream.output,upstream_inflow.output,downstream_demand.output
61.0,15.0,-8.0,-5.36,15.0,8.0
62.0,15.0,-8.0,-5.4399999999999995,15.0,8.0
63.0,15.0,-8.0,-5.52,15.0,8.0
64.0,15.0,-8.0,-5.6,15.0,8.0
65.0,15.0,-8.0,-5.68,15.0,8.0
66.0,15.0,-8.0,-5.76,15.0,8.0
67.0,15.0,-8.0,-5.84,15.0,8.0
68.0,15.0,-8.0,-5.92,15.0,8.0
69.0,15.0,-8.0,-6.0,15.0,8.0
70.0,15.0,-8.0,-6.08,15.0,8.0
71.0,15.0,-8.0,-6.16,15.0,8.0
72.0,15.0,-8.0,-6.24,15.0,8.0
73.0,15.0,-8.0,-6.32,15.0,8.0
74.0,15.0,-8.0,-6.4,15.0,8.0
75.0,15.0,-8.0,-6.4799999999999995,15.0,8.0
76.0,15.0,-8.0,-6.56,15.0,8.0
77.0,15.0,-8.0,-6.64,15.0,8.0
78.0,15.0,-8.0,-6.72,15.0,8.0
79.0,15.0,-8.0,-6.8,15.0,8.0
80.0,15.0,-8.0,-6.88,15.0,8.0
81.0,15.0,-8.0,-6.96,15.0,8.0
82.0,15.0,-8.0,-7.04,15.0,8.0
83.0,15.0,-8.0,-7.12,15.0,8.0
84.0,15.0,-8.0,-7.2,15.0,8.0
85.0,15.0,-8.0,-7.28,15.0,8.0
86.0,15.0,-8.0,-7.36,15.0,8.0
87.0,15.0,-8.0,-7.44,15.0,8.0
88.0,15.0,-8.0,-7.52,15.0,8.0
89.0,15.0,-8.0,-7.6,15.0,8.0
90.0,15.0,-8.0,-7.68,15.0,8.0
91.0,15.0,-8.0,-7.76,15.0,8.0
92.0,15.0,-8.0,-7.84,15.0,8.0
93.0,15.0,-8.0,-7.92,15.0,8.0
94.0,15.0,-8.0,-8.0,15.0,8.0
95.0,15.0,-8.0,-8.08,15.0,8.0
96.0,15.0,-8.0,-8.16,15.0,8.0
97.0,15.0,-8.0,-8.24,15.0,8.0
98.0,15.0,-8.0,-8.32,15.0,8.0
99.0,15.0,-8.0,-8.4,15.0,8.0
100.0,15.0,-8.0,-8.48,15.0,8.0
101.0,15.0,-8.0,-8.56,10.0,12.0
102.0,15.0,-8.0,-8.64,10.0,12.0
103.0,15.0,-8.0,-8.72,10.0,12.0
104.0,15.0,-8.0,-8.8,10.0,12.0
105.0,15.0,-8.0,-8.88,10.0,12.0
106.0,10.0,-8.0,-8.96,10.0,12.0
107.0,10.0,-8.0,-9.040000000000001,10.0,12.0
108.0,10.0,-8.0,-9.120000000000001,10.0,12.0
109.0,10.0,-12.0,-9.200000000000001,10.0,12.0
110.0,10.0,-12.0,-9.54,10.0,12.0
111.0,10.0,-12.0,-9.6,10.0,12.0
112.0,10.0,-12.0,-9.700000000000001,10.0,12.0
113.0,10.0,-12.0,-9.8,10.0,12.0
114.0,10.0,-12.0,-9.9,10.0,12.0
