time,tank1.storage,tank1.output,mpc_controller.output
89.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
90.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
91.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
92.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
93.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
94.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
95.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
96.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
97.0,0.9960159362544234,0.19920318725088454,0.1992031872508852
98.0,0.9960159362544232,0.19920318725088468,0.19920318725088446
99.0,0.9960159362544228,0.19920318725088465,0.1992031872508842
