time,tank1.storage,tank1.output,pid_controller.output
32.0,63121611621.023605,-5762460252.945988,86171452632.80756
33.0,-138285998634.61365,12624322324.204721,-188783287931.43256
34.0,302955151617.5039,-27657199726.92273,413583950525.1948
35.0,-663710171647.5583,60591030323.50078,-906074292941.5615
36.0,1454047536737.593,-132742034329.51167,1985015674055.6396
37.0,-3185508267619.0566,290809507347.5186,-4348746297009.131
38.0,6978769721553.402,-637101653523.8113,9527176335648.648
39.0,-15288997150474.047,1395753944310.6804,-20872012927716.77
40.0,33494934378668.83,-3057799430094.8096,45726132099048.06
41.0,-73380262811834.9,6698986875733.766,-100176210314769.97
42.0,160760517081756.12,-14676052562366.98,219464727331224.06
43.0,-352192031781940.1,32152103416351.227,-480800445447345.0
44.0,771577682769031.6,-70438406356388.03,1053331308194583.8
45.0,-1690362264969768.5,154315536553806.3,-2307624411184993.5
46.0,3703223473985651.5,-338072452993953.7,5055513285961466.0
47.0,-8112973403676644.0,740644694797130.2,-1.1075552182865166e+16
48.0,1.7773795697488508e+16,-1622594680735328.8,2.4264174420429824e+16
49.0,-3.893859843702898e+16,3554759139497701.5,-5.315763499501978e+16
50.0,8.530617061466734e+16,-7787719687405795.0,1.1645704936429053e+17
51.0,-1.8688763943846726e+17,1.7061234122933468e+16,-2.5513257593020112e+17
52.0,4.094309886754813e+17,-3.737752788769346e+16,5.589411002262551e+17
53.0,-8.969760386051397e+17,8.188619773509626e+16,-1.2245208295455247e+18
54.0,1.965083337816121e+18,-1.7939520772102794e+17,2.6826641687002327e+18
55.0,-4.305078796271449e+18,3.930166675632242e+17,-5.877145466524346e+18
56.0,9.431510147912253e+18,-8.610157592542898e+17,1.2875573184929413e+19
57.0,-2.066242869868322e+19,1.8863020295824507e+18,-2.8207636817013023e+19
58.0,4.5266977719646945e+19,-4.132485739736644e+18,6.179692067859352e+19
59.0,-9.917030092409215e+19,9.053395543929389e+18,-1.3538388309980971e+20
60.0,2.1726099423479903e+20,-1.983406018481843e+19,2.9659723497407277e+20
61.0,-4.75972535890795e+20,4.3452198846959804e+19,-6.497813312786342e+20
62.0,1.0427543872761459e+21,-9.5194507178159e+19,1.4235324159887818e+21
63.0,-2.2844526315970552e+21,2.085508774552292e+20,-3.1186561414179717e+21
64.0,5.004748855234181e+21,-4.568905263194111e+20,6.832310960511825e+21
65.0,-1.0964338134013832e+22,1.0009497710468362e+21,-1.4968137218201177e+22
66.0,2.402052814123972e+22,-2.1928676268027664e+21,3.2791998648450785e+22
67.0,-5.262385792300131e+22,4.804105628247944e+21,-7.184028043599309e+22
68.0,1.1528765755761207e+23,-1.0524771584600263e+22,1.573867438960131e+23
69.0,-2.525706877015523e+23,2.3057531511522416e+22,-3.44800813747642e+23
70.0,5.533285491047182e+23,-5.0514137540310455e+22,7.5538509926596e+23
71.0,-1.212224926180342e+24,1.1066570982094363e+23,-1.6548877654641163e+24
72.0,2.655726464919548e+24,-2.424449852360684e+23,3.625506405863821e+24
73.0,-5.818130698481301e+24,5.3114529298390956e+23,-7.94271187041694e+24
74.0,1.2746284405324098e+25,-1.1636261396962603e+24,1.7400788964109138e+25
75.0,-2.792439265481214e+25,2.5492568810648196e+24,-3.8121420179071417e+25
76.0,6.1176393083965475e+25,-5.584878530962428e+24,8.351590720781519e+25
77.0,-1.3402443938629101e+26,1.2235278616793095e+25,-1.8296555385346337e+26
78.0,2.9361898352123725e+26,-2.68048878772582e+25,4.0083853503027e+26
79.0,-6.432566170678792e+26,5.872379670424745e+25,-8.78151803884869e+26
80.0,1.409238157694541e+27,-1.2865132341357584e+26,1.9238434513488444e+27
81.0,-3.087340467875417e+27,2.8184763153890823e+26,-4.21473099403105e+27
82.0,6.763704993749703e+27,-6.174680935750834e+26,9.233577368050037e+27
83.0,-1.4817836166270449e+28,1.3527409987499408e+27,-2.022880016127021e+28
84.0,3.2462721075702446e+28,-2.96356723325409e+27,4.431699000871881e+28
85.0,-7.111890344945675e+28,6.49254421514049e+27,-9.70890803100187e+28
86.0,1.558063606577596e+29,-1.422378068989135e+28,2.12701483417325e+29
87.0,-3.413385308825553e+29,3.116127213155192e+28,-4.65983619408763e+29
88.0,7.477999753873242e+29,-6.826770617651107e+28,1.0208708000933684e+30
89.0,-1.6382703755811523e+30,1.4955999507746483e+29,-2.2365103558910115e+30
90.0,3.5891012461141956e+30,-3.2765407511623045e+29,4.899717546579117e+30
91.0,-7.862955924042084e+30,7.17820249222839e+29,-1.073423692093344e+31
92.0,1.7226060683121043e+31,-1.5725911848084168e+30,2.351642542235471e+31
93.0,-3.77386277533686e+31,3.4452121366242086e+30,-5.151947629986543e+31
94.0,8.267729058349537e+31,-7.54772555067372e+30,1.1286819278619024e+32
95.0,-1.811283235548378e+32,1.6535458116699073e+31,-2.472701560216341e+32
96.0,3.968135549949344e+32,-3.622566471096756e+31,5.417162138388046e+32
97.0,-8.69333930427758e+32,7.936271099898688e+31,-1.1867847744237056e+33
98.0,1.9045253698619794e+33,-1.7386678608555162e+32,2.5999925142041857e+33
99.0,-4.1724091945463666e+33,3.8090507397239586e+32,-5.69602949043595e+33
